description,category,spec_pred
Service and Transport,Regional Or National Trucking Services,
งานขนย้ายเฟอร์นิเจอร์,Store Fixture Installation Service,item -
"(MT)[FMST930] CM25093919_Imp-EXTERNAL SIGNAGE : S#15156 Ban Moh,Saraburi",Sign Installation And Maintenance Service,item -
4093839 เมาส์ไร้สาย Logitech M650 สีชมพู,Mouse,
ไม้กันสั่น Smooth XS,Selfie Sticks,
bus coupler [107353051],Other Connectors & Terminals,
"(TW) CS_ Add.SLH SUBSTRUCTURE (Transportation Sep'24)_MNS Had Mai Khao, Phuket ( CE ) 	",Construction Services,item -
"N68-(RM) FL#49|- PEDAL ASSY,PARKING BRAKE อะไหล่สำหรับงานเปลี่ยนชุดแป้นเบรคมือ,สายไฮดรอลิค รถโฟล์คลิฟท์น้ำมันเบอร์ 49 (Sup คู่สัญญา มีส่วนลดค่าอะไหล่ 20% แนบบันทึกขออนุมัติงบประมาณ รง.วด. 215/2568 รายการที่ 2)",Hydraulics Pumps,"brand -|compatibility parkingbrake|flowrate -|horsepower -|item pedalassy,parkingbrake|model -|pressure -|size -"
FREIGHT DDP AIR,Commercial Airplane Travel,brand -|class -|destination -|item -|itinerary -|routetype -
SP25000301:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
สติ๊กเกอร์ควบคุมอายุสินค้า (เฟสพิเศษ),Packaging Labels,application -|brand -|coating -|color -|content -|form -|item -|material -|model -|piece -|reflective -|size -|thickness -
SP25005947:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
SUPPORT BB=420 NOT FOR NEEDLE [70558784],Shoemaking Machine Parts,
เมาส์ไร้สาย ANITECH W224 สีดำ,Mouse,
Wile Coffee Moisture Meter,Moisture Meters,
(TP)(FMST930) 104962246_Imp-External Signage  : M#22591 Lang Karn Keha,Sign Installation And Maintenance Service,item -
Sound absorber 105230304,Audio Sound Cards & Mixers,
4094685 คีย์บอร์ดตัวเลข ไร้สาย นีโอ NEO1,Computer Keypads,
ผานดึงหลังลากเลนตัวลูบเทือก 3 เมตร,Other Winches,
Float Switch ห้องน้ำลูกค้า,Flow Switches,
เพอมิท 40 กรัม,Other Grain,brand -|item -|model -|piece -|weight 40g
(MT)[FMST930] CM24017368_Imp-EXTERNAL SIGNAGE : M#20611 Ban Suanthon,Sign Installation And Maintenance Service,item -
เทอร์มินอลแบบมีฟิวส์ CF4UL 110-240 V,Terminals,brand -|color -|contactmaterial -|insulationmaterial -|item -|model -|piece -|size -
งานเดินสาย VCT 3 x 6 SQ.MM.,Electrical System Services,item -
SP25005267:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
เครื่องฟอกอากาศ TOSHIBA  CAF-H20(W),Air Purifier Parts,
Time Switch HACO TM-B20,Switches,
ถุงเท้า นร. SO07 (4-6),Other Textiles & Leather Products,
2P488467-3;PLATE FINNED COIL HEAT EXCH.A,Heat Pumps,
นั่งร้านล.ชุบGGiantKingkong#GI1.8/1.2เงิ,Other Ladders & Scaffoldings,
Shure Handheld wireless mic BLX24RA/SM58,Microphones,
CM25364924:Air System (ระบบปรับอากาศย่อย):ปรับปรุงซ่อมแซม,Air Conditioning Installation Or Maintenance Or Repair Service,item -
คลิปแอมป์ UNI-T UT204+ 600A/AC 600A/DC,Clamp Meters,
"EasyLogic PFC Capacitor, BLRCS303A364B44",Other Capacitors,
"Belimo ZR-EXT-F05 EXTENSION NECK,BELIMO ZR-EXT-F05 EXTENSION NECK",Other Suspension Parts,
ชุดกาแฟจานรองทรงซ้อนROYAL PORCEL,Dinnerware Sets,
White Tea Collection Comb,Hair Combs,
(AT)FF Other operating expenses Jan'25(DHL Caserate),Warehouse Services,brand -|item -|period -
เครื่องผสมปูนGiantKingkong0.5HP#JS140ส้ม,Concrete Mixers,
4093258 เมาส์ไร้สาย สีขาว Logitech G304,Mouse,
Wireless Keyboard and Mouse Combo HP 655,Keyboard Mouse Combos,
APUTURE: Amaran 60x (ไฟสตูดิโอ LED กำลังไฟ 65 วัตต์ ปรับอุณหภูมิสีได้ตั้งแต่โทนอุ่นถึงโทนเย็น (2700K6500K),Searchlights,
Limit Switch (TEMU) 2091901180F,Switches,
ULANZI: L024 40W RGB and Adapter ,Other Camera Accessories,
"96U-well Nunclon,'NUNC,DENMARK'(50/case)",Other Lab Supplies,"brand -|item 96u-wellnunclon,'nunc,denmark'|model -|piece 50|size -|volume -"
รถเข็นทำความสะอาด+ชุดอุปกรณ์ทำความสะอาด,Cleaning Carts,
แฟลช SONY รุ่น HVL-F60RM2 ,Camera Flash Lights,
เข็มขัดนิรภัย,Safety Belt & Accessories(old),
โครงการทำเงิน_Arctic Coke_2319,Coke Fuel,
โครงการทำเงิน_Arctic Coke_17946,Coke Fuel,
ค่าดำเนินการยกเลิกเฟอร์นิเจอร์ 2CD 1 ตัว,Construction Services,item -
Particle Counter PM2.5 CEM รุ่น DT-96,Counters,
"(TP)(FMST930) CM24019223_Imp-External Signage : S#15241 Lad Prao 101, BKK",Sign Installation And Maintenance Service,item -
Ceramic fiber blanket ISOWOOL GRADE1400,Ceramic Fiber Blankets,
โครงการทำเงิน_Arctic Coke_19351,Coke Fuel,
"PANEL GASHET FOR HV 85/110,PANEL GASHET FOR HV 85/110:",Computer Lcds,
โครงการทำเงิน_Arctic Coke_7112,Coke Fuel,
CM25000146 - ค่าแรงดำเนินการ,Vehicle Maintenance And Repair Services,item 
POTENTIOMETER,"Rotary Potentiometers, Rheostats",
(CT) อ่างล่างตาฉุกเฉินใช้มือผลัก-ดึงเท้าเหยียบ พร้อม Shower,Squat Pans,
"CM24040580:Showcase Cabinets (ตู้แช่):หลอดไฟดับ:Y2024 ""LIGHTING"" ""SELF"" LED Driver 75 W",Refrigerator Lamps,
"เครื่องแสกนใบหน้าและควบคุมการเข้าออก,เครื่องแสกนใบหน้าและควบคุมการเข้าออก",Other Access Control Products,
"ชุดหม้อต้มน้ำร้อน (6 ลิตร 1,400 Watt)",Electric Air Pots,
Float switch and manual pull station,Flow Switches,
ตู้ TAB45C,Counters,
ส่วนนักเตะ C SPW CRW 3P BLACK/WHITE,Shoulder Pads,
CM25164860:Air System (ระบบปรับอากาศย่อย):ปรับปรุงซ่อมแซม,Air Conditioning Installation Or Maintenance Or Repair Service,item -
งานซ่อมเปลี่ยนอะไหล่รถฟอร์คลิฟท์น้ำมัน No.2,Vehicle Maintenance And Repair Services,item -
Potentiometer ETN M22-R4K7,Trimmer Potentiometers,
ค่าแรงเปลี่ยนลูกปืนเฟืองขับโซ่ Heat 1,Cylindrical Gears,boresize -1|brand -|coating -|compatibility -|hub -|innerdiameter -|item -|material -|model -|numberofteeth -|outerdiameter -|piece -|size -|thickness -
Potentiometer CS12900 IND06FBP,Trimmer Potentiometers,
Control Transformer 860133 [HM-9019138],Low Voltage Transformers,
ตู้ AS2PBUC,Counters,
Dorma ES 200 Transformer ( Power supply ),Low Voltage Transformers,
"1000029399;6800;Switching,Power Supply,11-20A,24V;;",Other Watch Accessories,
FPC TURBINE VIBRATOR SERIES GT25,Concrete Vibrator,
กล่องใส่ป้ายโฆษณา 4.06x0.30x0.17 M,Counters,
6018100C DCV10 DISC CHECK VALVE 40 MM,Check Valves,
ถุงผ้า กว้าง 70 ซม.ยาว 90 ซม. [ สีแดง ],Nonwoven Bags,
"Spare Part - RUN NOW 500, SN:DAK62L14000002
D-T01-SP00-S0C001844AB-GG
Brand: Technogym
SPARE PARTS RIGHT HANDLEBAR
Warranty: 3 Months
Quotation no. OC-20250307-32914",Other Indoor Sports Products,
"Spare Part - RUN NOW 500, SN:DAK62L14000004
D-T01-SP00-S0C001844AB-GG  
Brand: Technogym
SPARE PARTS RIGHT HANDLEBAR
Warranty: 3 Months
Quotation no. OC-20250307-32914",Other Indoor Sports Products,
SP25001839:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
"KEX - Delivery charge of Feb 2025 (ADEN T PARK)
Delivery invoice no : IND20250301128 amount  16,194.00 THB
Credit note (Rebate) : amount 0 THB
Credit note (Claim) Total amount 0 THB",Contracts,item -
เข็มขัดนิรภัยเต็มตัว รุ่น HNSR1003ZML,Fall Protection,
4004509 เมาส์ออฟติคอลไร้สาย ดำ แอนนิเทค,Mouse,
งานเปลี่ยนและยึดน็อตตะแกรง,Machinery Parts Processing Services,item -
เครื่องสกัดระบบลม Auto CHISEL A-300,Air Hammer Drills,
SP25001921:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
CM25111507:Air System (ระบบปรับอากาศย่อย):ไม่ทำงาน,Air Conditioning Installation Or Maintenance Or Repair Service,item -
Calcium ION Meter HORIBA,Concentration Meters,
ปากกาตรวจวัดแรงดันไฟฟ้ายี่ห้อ Fluke / Voltalert Range 90 - 1000V Model:1ACA1II/APAC,Test Pencil,
PB7573824 Harness ;30039665;0001;114,Wire Assembly,
PTFE tape for heater ribbon 38mm.,Ptfe,
Noise Contour Map,Noise Reduction Devices,
beyerdynamic 4ch antenna splitter:WA-AS4,Transmitters,
เมาส์ Logitech,Mouse,
ตู้ 36BS-60,Counters,
1000064406;6800;Credit adjustment / RTR;;,Diagnostic Tools,
SP25004957:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
MD-KEYBOARD BOARD [84Y167104 [84Y167104],Computer Keypads,
งานเพิ่ม 22435 เพชรเกษม 25/1(1),Shops,item -
โครงการทำเงิน_Arctic Coke_10536,Coke Fuel,
Mouse Logitech M221-CORDLESS-MS,Mouse,
โครงการทำเงิน_Arctic Coke_8553,Coke Fuel,
Digital thermometer for meat,Household Thermometers,
"6212LLU/LP03_BEARING,6212LLU/LP03_BEARING",Special Bearings,
โครงการทำเงิน_Arctic Coke_18817,Coke Fuel,
"ชุดควบคุมแรงดันแก็ส  ""HARRIS"" # 825 LPG",Switches,
Zirconia Oxygen Sensors ,Auto Sensors,
โครงการทำเงิน_Arctic Coke_4812,Coke Fuel,
ค่าดำเนินการการเก็บตัวอย่าง,Cost Accounting Service,
KDS4513ABW [S/N.4200010 [S/N.4200010213],Other Electronics Repair Parts,
(TK) OB_Hattrick_Activity_FF_Fresh food_Chelf chicken,Other Shellfish,
FCZ-15-FG1VM-108-02-00 FortiGuard IPS Service FortiGate-VM01V,Firewall & Vpn,
เศษผ้าคละสีแบบเย็บ (25 ก.ก./ถุง) 10*10 นิ้ว,Other Office Equipment,
รถใส่น้ำยาฆ่าเชื้อSUS304 500x500x1000mm.,Cleaning Carts,
ค่าบริการตกแต่งสถานที่ ภายในอาคาร,Decorating Design,
โครงการทำเงิน_Arctic Coke_3859,Coke Fuel,
6.5MM CERAMIC BULK BEADS 325 GRAMS,"Ceramic, Clay & Porcelain Beads",
Digital Clamp Meter HIOKI CM4375-50AC/DC,Clamp Meters,
โครงการทำเงิน_Arctic Coke_17909,Coke Fuel,
"(TP)(FMST930) 103624752_Imp-External Signage  : M#21737 Wanon Niwat, Sakon Nakhon",Sign Installation And Maintenance Service,item -
3-16555 DIAPHRAGM [044-FVR-00009(M)],Audio Products Accessories,
"FR_VW-F64 Oring (T-type body tank seat),FR_VW-F64 ORING (T-TYPE BODY TANK SEAT)",Seals,application -|brand -|item -|material -|model -|piece -|size -
ตลับเมตร 5 เมตร STANLEY,Tape Measures,
APPLE PENCIL PRO,Stylus Pens,
ค่าอปุกรณ์,Security And Personal Safety,
SP25000420:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
"ABSNKB20050B_CYLINDER,ABSNKB20050B_CYLINDER",Electric Actuators/cylinders,
(TK) OB_MESI_Activity_All_Disney_Products for Stitch,Textile & Fabric Crafts,
BE14842 TRUNK L1200BE-T14L12,Other Nev Parts & Accessories,
CM25080964:Air System (ระบบปรับอากาศย่อย):ไม่ทำงาน,Air Conditioning Installation Or Maintenance Or Repair Service,item -
จักรเย็บกระสอบ NEWLONG รุ่น NP-7A,Quilting Machines,
Flash Sony HVL-F60RM2,Camera Flash Lights,
ค่าซ่อมลูกปืน,Vehicle Maintenance And Repair Services,item -
Card Reader รุ่นTDA301BT,Card Readers,
เสื้อจราจร  # BS-09,Raincoats,
SP25006241:Parts (ซื้ออะไหล่):ปรับปรุงซ่อมแซม,Vehicle Maintenance And Repair Services,item -
(CM)(2nd)914 invoices_WNDC_Agency service charges for  Jul_2025 _ (The first),Contracts,item 
Pushing dock 57837 Nabel,Other Food Processing Machinery,brand -|item -|model -
"Spare Part - RUN NOW 500, SN:DAK62L14000002
D-T01-SP00-S0C001841AB-GG
Brand: Technogym
SPARE PARTS LEFT HANDLEBAR
Warranty: 3 Months
Quotation no. OC-20250307-32914",Other Indoor Sports Products,
